date,useruuid,admin2,distance_travelled,number_of_pois,radius_of_gyration,time_at_home,latitude,longitude,time_coverage,urban,poverty
02/01,1629875e9e938a040e9bc73ac257adfc03dd0038415dc068f7dc5dfa9764e53f,CIV.3.,0,1,-1,15424,6.72089,-3.49915,15424,1,7
02/01,16e198897272383f54fb57632b3a952001b3ffe6eba57f54bfced8480f520ad1,-1,126.679,0,-1,-1,,,72910,-1,-1
02/01,17213baca90e7b56a33d010c804d6b07b308b66141a0042c32feb9ea3fc31a45,CIV.13.,0.206,1,-1,6137,6.81117,-5.23319,6137,1,7
02/01,1892ec0c2b4ec7db5ecdfb7878b2a2c22b2928b760329d22d0905edfb767cf10,CIV.1.,0,1,-1,65350,5.36957,-3.96057,65350,1,8
02/01,1970ba1123bcdaf9fd1aed915887b3d48ed033283e6100cc562558837667f7ce,CIV.1.,13.782,2,1.219,13770,5.29816,-3.99353,69719,1,8
02/01,1ab02e3559c3f64886697383c8fb6da9a59e7f9b3a43ab7d75388055def24e31,CIV.10.,9.912,3,1.501,3874,9.46738,-5.61056,59787,1,8
02/01,1ab98f139206a11d628561caf6e1e6e933518c41106e2dedaf95e25d2fab27ad,CIV.1.,70.387,1,0,70220,5.33661,-4.08142,78785,1,8
02/01,1acc20d77c873d6f79b74cf736e537f7121fe0f9c80cb526937b2b9faa2baa0c,-1,6,0,-1,-1,,,65187,-1,-1
02/01,1b352d49c6a10469fd8fa82a4edbdbb6779f26fada72702c06594391541b7c22,CIV.1.,10.493,2,2.612,9880,5.36283,-3.97742,16223,1,8
02/01,1b543fddcb24bdf23e5f1d1eb78153667385e915eea3e6796ad3081d536cd477,-1,22.731,0,-1,-1,,,50878,-1,-1
02/01,1ba64493484a57beeb338325dc5988dbdf8e0e228a10fe466b4fc5d05960612d,CIV.1.,0,1,-1,64686,5.36407,-3.99353,64686,1,8
02/01,1c306e270735990176361fdb0ce2ced461190fc08e16b12d9eafc104e178407a,CIV.1.,2.735,1,0,9078,5.38055,-3.96057,23335,1,8
02/01,1c3c9ee55c23df5724c839ac586bffca567be6f832268ee46978074fb36e05ce,CIV.1.,0.199,1,0,7245,5.39801,-3.98188,50323,1,8
02/01,1c69f37d0943f5b457933ea1b96fb642e4bb1eb7b51b2f513894c5b10e27c0d8,CIV.1.,6.416,3,2.837,34342,5.29266,-3.96057,68687,1,8
02/01,1c8891802773b8c6751c35afb0d5fd2463c61c1aa2fc6ab45224f21ebb691489,CIV.6.,0,1,-1,73297,7.29465,-4.01204,73297,1,6
02/01,1d0c3aa6ccddcc9522be6c823a5cdb7c6518fab3f87506b0f04eeca3a44beb57,-1,15.41,0,-1,-1,,,100349,-1,-1
02/01,1d707487bb99c0e36bf3ae01b691b29a9012c2b1183100119426c0fd109cbab4,CIV.1.,4.422,2,0.531,83055,5.46844,-4.05945,86193,1,8
02/01,1da293a3423c7e3ccfb6a404895c9892370735d7dcbfce25ca70e8d03eab31f0,CIV.1.,40.757,1,0,51455,5.35207,-3.99258,156756,1,8
